pos1,pos2,pos3,freq
CCONJ,NOUN,VERB,1
NOUN,VERB,PUNCT,1
DET,NOUN,AUX,4
AUX,PART,ADV,1
PART,ADV,ADJ,1
ADV,ADJ,PUNCT,2
PRON,VERB,PRON,1
PRON,DET,ADJ,1
ADJ,NOUN,ADV,2
NOUN,ADV,CCONJ,1
ADV,CCONJ,AUX,1
CCONJ,AUX,PART,1
AUX,PART,VERB,2
PART,VERB,PRON,1
VERB,PRON,ADV,1
PRON,ADV,PUNCT,1
AUX,DET,PROPN,1
DET,PROPN,PRON,1
PROPN,PRON,CCONJ,1
PRON,CCONJ,PROPN,1
PROPN,PROPN,NOUN,1
PROPN,NOUN,PUNCT,3
ADV,ADJ,ADP,2
DET,NOUN,ADP,8
NOUN,ADP,NOUN,3
ADP,NOUN,CCONJ,3
NOUN,CCONJ,DET,2
CCONJ,DET,NOUN,1
AUX,ADJ,INTJ,1
ADJ,INTJ,VERB,1
VERB,ADP,PROPN,1
ADP,PROPN,PUNCT,2
PROPN,PUNCT,DET,1
PUNCT,DET,NOUN,4
AUX,VERB,ADJ,1
VERB,ADJ,NOUN,1
ADJ,NOUN,CCONJ,1
NOUN,CCONJ,PUNCT,1
CCONJ,PUNCT,SCONJ,1
PUNCT,SCONJ,AUX,1
SCONJ,AUX,ADP,1
AUX,ADP,DET,1
NOUN,ADP,ADV,1
ADP,ADV,NUM,1
ADV,NUM,NOUN,1
NUM,NOUN,PUNCT,2
NOUN,PUNCT,NOUN,1
PUNCT,NOUN,AUX,1
NOUN,AUX,ADV,1
AUX,ADV,VERB,1
ADV,VERB,NOUN,1
VERB,NOUN,PUNCT,1
ADP,ADP,ADJ,1
ADP,ADJ,PUNCT,3
ADJ,PUNCT,X,1
PUNCT,X,PUNCT,1
X,PUNCT,DET,1
PUNCT,DET,ADJ,1
DET,ADJ,NUM,2
ADJ,NUM,NOUN,2
NOUN,PUNCT,PUNCT,2
PUNCT,PUNCT,DET,1
DET,NOUN,VERB,1
NOUN,VERB,PART,1
VERB,PART,AUX,1
VERB,ADP,ADJ,1
ADP,ADJ,ADJ,1
ADJ,ADJ,ADJ,1
ADJ,ADJ,PUNCT,1
PART,AUX,ADJ,1
ADJ,PUNCT,PRON,1
PUNCT,PRON,ADP,1
PRON,ADP,DET,1
NUM,NOUN,PART,1
NOUN,PART,AUX,1
AUX,VERB,AUX,1
VERB,AUX,ADJ,1
ADJ,NOUN,PUNCT,2
NOUN,PUNCT,PART,1
PUNCT,PART,ADP,1
PART,ADP,PRON,1
ADP,PRON,PUNCT,2
PRON,PUNCT,ADP,1
PUNCT,ADP,ADJ,2
ADJ,PUNCT,PUNCT,1
PUNCT,PUNCT,ADV,1
PUNCT,ADV,PUNCT,1
ADV,PUNCT,PRON,1
PRON,AUX,PRON,2
AUX,PRON,ADP,1
PRON,ADP,ADJ,1
AUX,PRON,PRON,1
DET,NOUN,SCONJ,1
NOUN,SCONJ,VERB,1
SCONJ,VERB,DET,1
VERB,DET,PROPN,2
DET,PROPN,PUNCT,1
ADP,DET,PROPN,2
DET,PROPN,VERB,1
PROPN,VERB,PUNCT,1
VERB,PUNCT,ADV,2
PUNCT,ADV,ADV,2
ADV,ADV,PUNCT,2
NOUN,NOUN,VERB,1
NOUN,VERB,NOUN,1
VERB,NOUN,ADP,1
NOUN,ADP,ADJ,1
ADP,ADJ,NOUN,1
ADJ,NOUN,VERB,1
NOUN,VERB,NUM,1
VERB,NUM,SYM,1
NUM,SYM,NUM,1
SYM,NUM,NOUN,1
NUM,NOUN,ADP,1
NOUN,ADP,VERB,1
ADP,VERB,NOUN,1
VERB,NOUN,CCONJ,1
NOUN,CCONJ,NOUN,2
CCONJ,NOUN,PUNCT,2
NOUN,PUNCT,DET,1
PART,VERB,DET,1
DET,PROPN,NOUN,1
ADV,ADJ,ADJ,1
ADJ,ADJ,NOUN,1
ADJ,NOUN,ADP,1
NOUN,ADV,VERB,1
ADV,VERB,PRON,1
VERB,PRON,VERB,1
PRON,VERB,PUNCT,1
VERB,PUNCT,ADP,1
ADP,ADJ,ADP,1
ADJ,ADP,ADV,1
ADP,ADV,ADJ,2
ADV,ADJ,NOUN,1
ADJ,NOUN,DET,1
NOUN,DET,NOUN,1
NOUN,ADP,AUX,1
ADP,AUX,VERB,1
AUX,VERB,ADV,1
VERB,ADV,ADP,1
ADV,ADP,PROPN,2
ADP,PROPN,NOUN,1
ADP,ADP,DET,2
DET,PROPN,PART,1
PROPN,PART,NOUN,1
PART,NOUN,PUNCT,1
NOUN,PUNCT,VERB,1
PUNCT,VERB,ADP,1
VERB,ADP,ADP,1
DET,NOUN,CCONJ,1
CCONJ,VERB,DET,1
NOUN,ADP,PRON,1
CCONJ,PRON,AUX,1
ADJ,PUNCT,DET,1
PUNCT,PROPN,PROPN,1
PROPN,PUNCT,AUX,1
PUNCT,AUX,AUX,1
AUX,AUX,ADV,1
AUX,ADV,ADV,1
ADV,PUNCT,VERB,1
PUNCT,VERB,PUNCT,1
VERB,PUNCT,CCONJ,1
PUNCT,CCONJ,PRON,1
CCONJ,PRON,NOUN,1
PRON,NOUN,AUX,1
NOUN,AUX,ADP,1
AUX,ADP,PUNCT,1
ADP,PUNCT,PROPN,1
PUNCT,PROPN,CCONJ,1
CCONJ,PROPN,PUNCT,1
PROPN,PUNCT,PUNCT,1
PROPN,ADV,VERB,1
ADV,VERB,PUNCT,1
ADV,ADV,ADP,1
PROPN,PUNCT,ADP,1
PUNCT,ADP,DET,1
CCONJ,DET,ADJ,1
PRON,ADJ,NOUN,1
ADJ,NOUN,AUX,1
VERB,ADP,ADV,1
NOUN,PUNCT,CCONJ,1
PUNCT,CCONJ,ADV,1
CCONJ,ADV,VERB,1
ADV,VERB,ADJ,1
VERB,ADJ,CCONJ,1
ADJ,CCONJ,ADV,1
CCONJ,ADV,ADJ,1
